titulo,textoCompleto,rama,libro,titulo_materia,materia,dificultad
"Art. 108 COT — Definición de competencia","La competencia es la facultad que tiene cada juez o tribunal para conocer de los negocios que la ley ha colocado dentro de la esfera de sus atribuciones.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia,1
"Art. 134 COT — Regla general territorial","En general, es juez competente para conocer de una demanda civil el del domicilio del demandado.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia relativa,1
"Art. 135 COT — Acciones inmobiliarias","Si la acción entablada fuere inmueble, será competente para conocer del juicio el juez del lugar que las partes hayan estipulado en la respectiva convención. A falta de estipulación será competente, a elección del demandante, el juez del lugar donde se contrajo la obligación o el del lugar donde se encontrare la especie reclamada.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia relativa,2
"Art. 181 COT — Prórroga de competencia","Un tribunal que no es naturalmente competente para conocer de un determinado asunto, puede llegar a serlo si para ello las partes, expresa o tácitamente, convienen en prorrogarle la competencia para este negocio.",DERECHO_ORGANICO,COT,TITULO_VII,De la prórroga de competencia,1
"Art. 157 COT — Competencia penal territorial","Será competente para conocer de un delito el tribunal en cuyo territorio se hubiere cometido el hecho que da motivo al juicio.",DERECHO_ORGANICO,COT,TITULO_VII,De la competencia relativa,1
