titulo,textoCompleto,rama,libro,titulo_materia,materia,dificultad
"Art. 158 inc. 2 y 3 CPC — Clasificación de resoluciones","Es sentencia definitiva la que pone fin a la instancia, resolviendo la cuestión o asunto que ha sido objeto del juicio. Es sentencia interlocutoria la que falla un incidente del juicio, estableciendo derechos permanentes a favor de las partes, o resuelve sobre algún trámite que debe servir de base en el pronunciamiento de una sentencia definitiva o interlocutoria.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Art. 175 CPC — Cosa juzgada","Las sentencias definitivas o interlocutorias firmes producen la acción o la excepción de cosa juzgada.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Art. 177 CPC — Triple identidad","La excepción de cosa juzgada puede alegarse por el litigante que haya obtenido en el juicio y por todos aquellos a quienes según la ley aprovecha el fallo, siempre que entre la nueva demanda y la anteriormente resuelta haya identidad legal de personas, identidad de la cosa pedida e identidad de la causa de pedir.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
"Art. 182 CPC — Desasimiento","Notificada una sentencia definitiva o interlocutoria a alguna de las partes, no podrá el tribunal que la dictó alterarla o modificarla en manera alguna.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,1
"Art. 174 CPC — Sentencia firme","Se entenderá firme o ejecutoriada una resolución desde que se haya notificado a las partes, si no procede recurso alguno en contra de ella; y, en caso contrario, desde que se notifique el decreto que la mande cumplir, una vez que terminen los recursos deducidos, o desde que transcurran todos los plazos que la ley concede para la interposición de dichos recursos, sin que se hayan hecho valer por las partes.",DERECHO_PROCESAL_CIVIL,LIBRO_I,TITULO_XVII,De las resoluciones judiciales,2
