titulo,textoCompleto,rama,libro,titulo_materia,materia,dificultad
"Art. 1 CC — Definición de ley","La ley es una declaración de la voluntad soberana que, manifestada en la forma prescrita por la Constitución, manda, prohíbe o permite.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,1
"Art. 3 CC — Interpretación legislativa y efecto de las sentencias","Solo toca al legislador explicar o interpretar la ley de un modo generalmente obligatorio. Las sentencias judiciales no tienen fuerza obligatoria sino respecto de las causas en que actualmente se pronunciaren.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_I,De la Ley,2
"Art. 9 CC — Irretroactividad de la ley","La ley puede solo disponer para lo futuro, y no tendrá jamás efecto retroactivo.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_III,Efectos de la Ley,1
"Art. 19 CC — Interpretación gramatical","Cuando el sentido de la ley es claro, no se desatenderá su tenor literal, a pretexto de consultar su espíritu. Pero bien se puede, para interpretar una expresión oscura de la ley, recurrir a su intención o espíritu, claramente manifestados en ella misma, o en la historia fidedigna de su establecimiento.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_IV,Interpretación de la Ley,2
"Art. 44 inc. final CC — Definición de dolo","El dolo consiste en la intención positiva de inferir injuria a la persona o propiedad de otro.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
"Art. 45 CC — Caso fortuito","Se llama fuerza mayor o caso fortuito el imprevisto a que no es posible resistir, como un naufragio, un terremoto, el apresamiento de enemigos, los actos de autoridad ejercidos por un funcionario público, etc.",DERECHO_CIVIL,TITULO_PRELIMINAR,TITULO_V,Definición de varias palabras de uso frecuente,1
